viral_phage_gene_fraction,ratio.virus.bacteria,score
0.2045454545,0.2494024731,1
0.4375,6.9901335342,1
0.2222222222,0.0236686237,0
0.3913043478,2.446546737,1
0.4166666667,13.2812537149,1
0.2222222222,0.0254186674,0
0.2631578947,3.1773334246,1
0.3333333333,0.9320178046,1
0.3333333333,0.4660089023,0
0.4,117.434243374,1
0.2,1.3980267068,0
0.2222222222,0.294321412,0
0.3333333333,NA,0
0.4857142857,9.7861869478,1
0.1666666667,0.1337242937,0
0.1666666667,NA,0
0.1666666667,NA,0
0.1666666667,0.0850151376,0
0.1428571429,NA,0
0.125,2.7960534137,0
0.125,0.0282022679,0
0.125,0.0569261085,0
0.1176470588,0.3032484401,0
0.1111111111,0.3202184077,0
0.1111111111,0.4660089023,0
0.1,0.018156191,0
0.1,1.3980267068,0
0.0952380952,0.0441124932,0
0.0909090909,0.0522084662,0
0.0909090909,0.1240184982,0
0.0909090909,0.2796053414,0
0.0909090909,3.6698201054,0
0.0833333333,NA,0
0.0833333333,0.199718101,0
0.0769230769,0.0818465002,0
0.0769230769,0.2133830237,0
0.0740740741,0.195338488,0
0.0714285714,0.6138936462,0
0.0714285714,0.1526580887,0
0.0714285714,0.0391017247,0
0.0666666667,0.0487049438,0
0.064516129,0.2106024092,0
0.0555555556,0.0852455309,0
0.0526315789,0.3039188493,0
0.05,0.5025586201,0
0.05,0.3593146592,0
0.05,0.0432987571,0
0.0454545455,0.0793673428,0
0.0434782609,0.089427894,0
0.0384615385,0.193344119,0
0.0384615385,0.1666613118,0
0.037037037,0.0875793993,0
0.0357142857,0.3516784559,0
0.0277777778,0.1057198525,0
0.027027027,0.1564324238,0
0.0196078431,0.1277928217,0
0.0196078431,0.0630490035,0
0,NA,0
0,0.0533792015,0
0,NA,0
0,NA,0
0,0.8388160241,0
0,0.059692972,0
0,NA,0
0,0.032512249,0
0,0.0779155012,0
0,0.2271361909,0
0,0.127093337,0
0,1.3980267068,0
0,0.172359457,0
0,0.1316527392,0
0,0.1375108236,0
0,0.0202612566,0
0,0.031918418,0
0,0.1864035609,0
0,0.110118542,0
0,0.1093428709,0
0,0.0754198618,0
0,0.1224078683,0
0,0.0353717601,0
0,0.0463004156,0
0,0.1075405159,0
0,0.3495066767,0
0,0.1747533384,0
0,0.3423738874,0
0,0.0292961883,0
0,NA,0
0,NA,0
0,0.0744196726,0
0,0.4782433182,0
0,0.4172806987,0
0,0.269044708,0
0,0.4534573731,0
0,0.0872331935,0
0,0.1687273612,0
0,0.2621300075,0
0,0.6990133534,0
0,0.1211623146,0
0,0.1244818301,0
0,NA,0
0,0.0582511128,0
0,0.1310650038,0
0,0.0439481633,0
0,0.1979506842,0
0,0.1075405159,0
0,1.1438400329,0
0,0.2254881785,0
0,1.2981676563,0
0,NA,0
0,0.0645243095,0
0,NA,0
0,0.5533855715,0
0,0.0332863502,0
0,0.0523659488,0
0,0.1249632811,0
0,0.2695294732,0
0,0.0576818837,0
0,0.0520754934,0
0,0.0323243169,0
0,0.0982273667,0
0,0.0191510508,0
0,NA,0
0,0.1644737302,0
0,0.0466008902,0
0,NA,0
0,1.3980267068,0
0,0.0437738304,0
0,0.0773611616,0
0,0.0776681504,0
0,0.0567096874,0
0,5.6556534958,0
0,0.0380373011,0
0,0.0586937162,0
0,0.0768955591,0
0,NA,0
0,0.0491940658,0
0,0.1000048301,0
0,0.0760914801,0
0,0.1381904488,0
0,0.1555943345,0
0,0.1697026638,0
0,0.1121656914,0
0,NA,0
0,0.3106726015,0
0,0.5991543029,0
0,0.0810450265,0
0,NA,0
0,0.4660089023,0
0,0.0559210683,0
0,NA,0
0,0.0472181206,0
0,2.7960534137,0
0,0.0704887415,0
0,0.1697603858,0
0,0.127390284,0
0,0.0534764314,0
0,0.1704910618,0
0,0.104852003,0
0,0.1173716452,0
0,0.2040267402,0
0,0.2099802959,0
0,0.1067104433,0
0,1.2335529766,0
0,0.075689344,0
0,0.0640284326,0
0,0.0909285663,0
0,0.1923459563,0
0,2.7960534137,0
0,0.0845093864,0
0,0.4383749512,0
0,0.0555615523,0
0,0.2007706338,0
0,0.0432865412,0
0,0.0369522478,0
0,0.2236842731,0
0,0.053512984,0
0,NA,0
0,0.0711722687,0
0,0.1081346624,0
0,0.0927600659,0
0,0.0724902737,0
0,0.1473823336,0
0,0.0718611859,0
0,0.4660089023,0
0,0.1052907143,0
0,NA,0
0,0.226151379,0
0,0.1194618664,0
0,0.0381013568,0
0,0.152425399,0
0,0.3624513684,0
0,0.0928671242,0
0,0.1078080296,0
0,NA,0
0,0.1720648255,0
0,0.0625709438,0
0,0.018156191,0
0,0.147160706,0
0,0.0577166989,0
0,0.2796053414,0
0,0.0930100072,0
0,0.1029222115,0
0,0.0263778624,0
0,0.0422468755,0
0,0.0730560274,0
0,0.1562500437,0
0,0.1694577826,0
0,10.4852003012,0
0,0.1214463531,0
0,0.8896533589,0
0,0.035732312,0
0,0.3289474604,0
0,0.0171537019,0
0,NA,0
0,0.0372807122,0
0,0.6990133534,0
0,0.375080336,0
0,0.0954819463,0
0,0.1210889274,0
0,0.5658679528,0
0,0.1414669882,0
0,0.0829319669,0
0,0.0358468386,0
0,0.0704165786,0
0,0.04950043,0
0,NA,0
0,0.034484026,0
0,1.6601567144,0
0,NA,0
0,0.0269889326,0
0,0.2182285591,0
0,0.067255228,0
0,0.074313712,0
0,0.0989043751,0
0,NA,0
0,0.0880492678,0
0,0.0422279513,0
0,0.9184710341,0
0,0.0654964673,0
0,NA,0
0,0.0667197898,0
0,0.1075405159,0
0,0.5532854836,0
0,0.4660089023,0
0,2.5392729981,0
0,0.0517787669,0
0,0.0496760759,0
0,0.0932017805,0
0,0.1497885757,0
0,0.9428552209,0
0,0.056197734,0
0,NA,0
0,0.073960671,0
0,0.0478507225,0
0,0.9506581606,0
0,0.0581043845,0
0,0.1103251655,0
0,0.2123787002,0
0,0.0492696637,0
0,0.065944656,0
0,0.0785712684,0
0,NA,0
0,0.1021389375,0
0,0.0874620814,0
0,0.0332863502,0
0,0.0780451802,0
0,1.0096859549,0
0,0.19690517,0
0,0.0348417871,0
0,0.2119958531,0
0,0.0707500183,0
0,0.1729517575,0
0,0.2176019065,0
0,0.1092208365,0
0,0.0609326038,0
0,0.3106726015,0
0,0.8488019291,0
0,0.062068839,0
0,0.0632086543,0
0,0.125065637,0
0,0.0750837461,0
0,0.1060571984,0
0,0.0569793803,0
0,0.1391240169,0
0,NA,0
0,0.0647377306,0
0,NA,0
0,0.0615131751,0
0,0.7256170966,0
0,0.0340982124,0
0,0.0833685651,0
0,NA,0
0,0.0832158754,0
0,0.81085549,0
0,0.0501422931,0
0,NA,0
0,0.0581947225,0
0,0.0743631227,0
0,0.0747683304,0
0,NA,0
0,0.1463791241,0
0,0.0390446721,0
0,0.0530218897,0
0,NA,0
0,0.1013708608,0
0,0.0444226768,0
0,0.8093838829,0
0,0.0671052819,0
0,0.0677357454,0
0,0.131751208,0
0,0.0380078183,0
0,0.0048374627,0
0,NA,0
0,0.1233552977,0
0,0.4071922447,0
0,0.147160706,0
0,0.068625603,0
0,0.094152819,0
0,0.0422222831,0
0,0.0747274854,0
0,0.547032228,0
0,0.0469520272,0
0,NA,0
0,0.0613554041,0
0,0.1023603369,0
0,0.0666416876,0
0,0.0889173157,0
0,0.065024498,0
0,0.4660089023,0
0,0.0436883346,0
0,0.0453147296,0
0,0.1459704356,0
0,0.0683998747,0
0,0.0654743748,0
0,0.1841577349,0
0,NA,0
0,0.0147160706,0
0,0.0699013353,0
0,0.0720632323,0
0,0.1832171753,0
0,0.0745158489,0
